id,item
009576b7-a415-4654-9e57-095ef43bcc59,"{""active"":true,""adminFee"":0,""basePrice"":5700,""code"":""TLKM5"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""33df9a89-15c8-4992-99ac-21d73719e4e3"",""name"":""Telkomsel 5.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00a984ac-a4e5-4042-a2d6-6483e4cf127a,"{""active"":true,""adminFee"":0,""basePrice"":5700,""code"":""TLKM5"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""33df9a89-15c8-4992-99ac-21d73719e4e3"",""name"":""Telkomsel 5.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00ad03a0-6eb5-41ec-85a9-a4868c4d8d98,"{""active"":true,""adminFee"":0,""basePrice"":5775,""code"":""XL5"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""340972e9-d964-45d3-976c-f14712d52ec7"",""name"":""XL 5.000"",""operatorCode"":""xl"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00c1d532-b32d-447f-bcf5-b215cb37f5db,"{""active"":true,""adminFee"":0,""basePrice"":16000,""code"":""DATA_AIGO1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""1GB All Jaringan, Berlaku 24 Jam, Masa Aktif 30 Hari. Setelah mendapat No. Ref PAKET TIDAK LANGSUNG AKTIF. Untuk mengaktifkan paket, ketik *838*No. Ref#"",""id"":""710e5cf7-1282-4672-b1af-fe19cf360ee5"",""name"":""Axis Aigo 1GB 24 JAM Masa Aktif 30 Hari"",""operatorCode"":""axis_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00c591a0-3d25-4f18-9410-4009ba0cfbfe,"{""active"":true,""adminFee"":0,""basePrice"":49200,""code"":""TLKM50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""4f66ff7e-2bda-42a0-ad14-71ff6da3da20"",""name"":""Telkomsel 50.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00c921c6-9e06-45e0-9159-f15072b26b80,"{""active"":true,""adminFee"":0,""basePrice"":5125,""code"":""DATA_INDSTY3"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""ec355354-02fc-4b43-9619-96f69a577974"",""name"":""Indosat Yellow  1GB (masa aktif 3 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00ce7e20-4137-4d5d-8e3e-2ce70fbc9955,"{""active"":true,""adminFee"":0,""basePrice"":96550,""code"":""TLKM100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""219467ee-78ae-4388-8593-e630f4f40b96"",""name"":""Telkomsel 100.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00d06b92-f2d4-426b-b259-1047cce6d72f,"{""active"":true,""adminFee"":0,""basePrice"":10800,""code"":""INDST10"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""d078c6ca-10a8-4dc2-8057-2292bbe427b4"",""name"":""Indosat 10.000"",""operatorCode"":""indosat"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00d0c9f7-2954-45c6-b874-b04f391d3c5c,"{""active"":true,""adminFee"":2750,""basePrice"":100015,""code"":""PLN100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""948338bb-1896-4243-982f-946ccf23633e"",""name"":""PLN 100.000"",""operatorCode"":""pln"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""electricity"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00d3b56f-dee8-4d66-9756-a2d5e85ceb23,"{""active"":true,""adminFee"":0,""basePrice"":96550,""code"":""TLKM100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""219467ee-78ae-4388-8593-e630f4f40b96"",""name"":""Telkomsel 100.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
